"","V1","V2"
"96","Återigen, jag vill uppmana människor att kontakta sina äldre anhöriga. Att påminna dem om att dricka vatten men också försäkra att de mår bra. De äldre är extra känsliga och extra utsatta i värmen.","socialdemokrat"
"97","""Om Sverigedemokraterna fick bestämma skulle vår abortlag vara hårdare än Rumäniens, Tjeckiens och Bulgariens. Mitt och Socialdemokraternas besked är tydligt: kvinnors rätt till sin kropp och till en god vård måste stå i centrum."" - @strandhall","socialdemokrat"
"98","Jag tänker idag särskilt på all den personal som under svåra förhållanden arbetar med att stoppa och släcka bränderna runt om i vårt land. 

Jag vill rikta ett stort tack till er alla – ni är riktiga hjältar.

https://www.facebook.com/703315986384134/posts/1748477635201292/ …","socialdemokrat"
"99","Tillväxt och jobb! ","socialdemokrat"
"100","Enligt SKL behövs 129 000 nya undersköterskor fram till 2023.

Då behövs resurser för att anställa fler undersköterskor och prioritera undersköterskornas trygghet, löner och villkor.

För oss går det före skattesänkningar och obegränsade vinstuttag ur välfärden.","socialdemokrat"
"101","""Sverigedemokraterna vill kalla sig ett vårdparti och lovade i förra valrörelsen att begränsa vinsterna i välfärden.

Nu har de ändrat sig – och det är undersköterskorna som får betala priset."" - @shekarabi","socialdemokrat"
"102","Stort tack också till alla de frivilliga som stöttar brandkåren och hemvärnet i deras kamp mot lågorna. #skogsbrand","socialdemokrat"
"103","""Svensk räddningstjänst håller internationell toppklass och gör just nu fantastiska insatser. För att stödja dem ytterligare bistår MSB med samordning mellan berörda myndigheter och med skogsbrandsdepåer."" - @johanssonmorgan","socialdemokrat"
"104","MODERATERNA VILL CHOCKHÖJA HYRORNA

Moderaterna bryr sig inte om vanligt folk - de vill chockhöja hyrorna.
Hur mycket högre hyra klarar du? http://www.hyreschock.se ","socialdemokrat"
"105","""De personer de[SD] valde in som sina representanter har inte fullgjort sina uppdrag. Och det finns inget som tyder på att Sverigedemokraternas företrädare kommer att agera annorlunda efter valet i höst."" - @Ygeman","socialdemokrat"
"106","Kjell Bergqvist skriver följande på fb:

""Jag är född @socialdemokrat och eftersom jag varje dag påminner mig själv om var jag kommer ifrån så kommer jag också dö som socialdemokrat!

Förövrigt tycker jag att SD och Jimmy Åkesson är ett sorgligt kapitel!""

Bra sagt Kjell ","socialdemokrat"
"107","""Allvaret i torkkrisen ökar dag för dag, när vi inte får någon nederbörd. Jag är ändå väldigt glad för det engagemang som svenska folket visar i frågan. Tillsammans kan vi klara av det här."" - Sven-Erik Bucht","socialdemokrat"
"108","Liten påminnelse i Expressen idag.","socialdemokrat"
"109","”Vi är många kvinnor som själva eller som stöd åt en nära vän, efter att ha funderat, gråtit och diskuterat landat i beslutet om en abort... Att inskränka det beslutet och kalla det en ickefråga - det är kvinnofientligt”.  - @strandhall","socialdemokrat"
"110","Landsbygdsministern om ekonomiskt krisstöd.","socialdemokrat"
"111","Växande besöksnäring ger jobb i hela landet.","socialdemokrat"
"112","Vi kommer aldrig att acceptera att hot och hat tar över vårt demokratiska samhälle. Därför vill den socialdemokratiskt ledda regeringen utreda ett förbud mot rasistiska organisationer. http://www.socialdemokraterna.se/aktuellt/2018/vi-vill-utreda-ett-forbud-mot-rasistiska-organisationer/ …","socialdemokrat"
"113","– Vi bör ta fram en lagstiftning som gör det möjligt att förbjuda nazistiska och rasistiska organisationer. Det utrymmet finns i regeringsformen i dag, att införa ett sådant organisationsförbud - @johanssonmorgan #svpol #krimpol","socialdemokrat"
"114","Höstens val är ett val där människors rättigheter står på spel. Sverigedemokraterna vill sänka abortgränsen och har röstat mot varje reform som kan förbättra livssituationen för hbtqi-personer.

https://www.expressen.se/debatt/sa-motarbetar-sd-kvinnors-rattigheter/ …","socialdemokrat"
"115","Lika lön för lika arbete för såväl svensk som utländsk arbetskraft i Sverige#utstationeringsdirektiv","socialdemokrat"
"116","Screening för cancer räddar liv. Det behövs lika mycket för prostatacancer som för bröstcancer. Det är min bestämda uppfattning.
Idag tog regeringen ett viktigt beslut i den riktningen.","socialdemokrat"
"117","Ytterligare en satsning på att Sverige ska leda utvecklingen mot el-fordon i världen. Skapar jobb, ökad export och en mer hållbar framtid. En bra kombination tycker en socialdemokratisk näringsminister!","socialdemokrat"
"118","Goda nyheter, igen! Regeringen satsar ytterligare 200 mnkr på forskning och utveckling av elfordon. Sverige, och särskilt Göteborg, är helt klart på väg att ta på sig ledartröjan inom elektrifiering. Det krävs för att säkra konkurrenskraft, jobb och klimat","socialdemokrat"
"119","På måndag möter landsbygdsminister Sven-Erik Bucht EU:s jord- och landsbygdsministrar i Bryssel. Då ska han lyfta frågan om krisstöd med anledning av den svåra torkan.","socialdemokrat"
"120","M och SD:s politik leder till växande sociala klyftor, splittring och otrygghet. När framtidstron går förlorad blir våldet och gängen ett alternativ. Vi är övertygade om att det istället krävs ett starkt samhälle för att skapa ett tryggare Sverige. http://www.expressen.se/debatt/sa-foder-m-och-sd-gangkriminaliteten/ …","socialdemokrat"
"121","""Det är hedervärt att man har sett den allvarliga situationen och agerar på det."" - Sven-Erik Bucht","socialdemokrat"
"122","Idag leder jag ett möte i säkerhetsrådet om klimatrelaterade säkerhetsrisker. Klimatförändringar kan både underblåsa och leda till nya konflikter, vilket är tydligt i Sahelregionen där jag reste i förra veckan. 

TT rapporterar:","socialdemokrat"
"123","Ibland måste man bara säga ifrån.
Det här är respektlöst mot Sveriges kvinnor.","socialdemokrat"
"124","Fler måste enklare kunna lämna gängen. Vi vill kraftigt bygga ut den avhopparverksamhet som finns idag.
- Morgan Johansson","socialdemokrat"
"125","Vi vill se mer uppsökande barnavård för att få upp på radarn om det behövs göras tidigare insatser för riskfamiljer.
- Morgan Johansson","socialdemokrat"
"126","Leder idag ett möte i säkerhetsrådet om kvinnor, fred och säkerhet i Sahelregionen. Med mig har jag färska intryck från mina resor i Tchad och Niger.","socialdemokrat"
"127","Vallöfte från @johanssonmorgan idag: Vi vill bygga ut avhopparverksamheten. Vi vill kraftigt utöka avhopparverksamheten för att fler kriminella ska få stöd från kommuner och organisationer att lämna de kriminella gängen.","socialdemokrat"
"128","Vi vill se ett starkare samhälle och ett tryggare Sverige. Vi går därför till val på nio skarpa förslag för att bekämpa gängkriminaliteten.","socialdemokrat"
"129","Idag går vi ut och säger att vi vill slopa straffrabatten för ungdomar i åldern 18-20.
- Morgan Johansson","socialdemokrat"
"130","Vi vill ha ett system med utbyggd kameraövervakning kring gränserna för att ta fast de internationella stöldligorna.
- Morgan Johansson","socialdemokrat"
"131","Ger man sig på ett vittne, ja då ger man sig på rättsstaten!
- Morgan Johansson","socialdemokrat"
"132","Nu håller Morgan Johansson pressträff. Följ det live här:","socialdemokrat"
"133","Just nu håller landsbygdsminister Sven-Erik Bucht pressträff med anledning av torkan i landet. Se pressträffen live här:","socialdemokrat"
