"","V1","V2"
"62","Äntligen ny djurskyddslag! Inga fler cirkuselefanter eller övergivna katter och minkarnas välfärd ska granskas. @miljopartiet i regering gör skillnad. #Nu!","miljopartiet"
"63","Man hinner knappt ta in ett dramatiskt klimatlarm förrän nästa kommer. Vi måste ställa om våra samhällen till förnybar energi och cirkulära resursflöden. Vi kan göra det, med ambitiös grön politik. Sverige får inte tappa farten efter valet. #nu inte #sen","miljopartiet"
"64","– Sverige kan bättre än att dela upp människor utifrån när vi kom hit. Gustav Fridolin på #järvaveckan #nu","miljopartiet"
"65","Gustav Fridolin: ”Klimathotet är nu – Ulf Kristersson går till val på billiga flyg” 
https://omni.se/just-nu-klimathotet-ar-nu-m-vill-ha-billiga-flyg/a/VRMOl3 …
@GustavFridolin @miljopartiet @jarvaveckan","miljopartiet"
"66","För 15 år sen motionerade jag om att göra #barnkonventionen till lag och blev nedröstad. Idag togs beslutet - det förpliktigar, säger Gustav Fridolin, @miljopartiet från scenen på #järvaveckan. #barnrätt #psykbryt #bättrebarndom","miljopartiet"
"67","”Det miljövänliga valet ska aldrig vara en uppoffring. Det miljövänliga valet ska vara enklare, roligare och billigare än det miljödåliga.” Då behöver Sverige stark miljöpolitik! #järvaveckan #nu","miljopartiet"
"68","Så många gör så mycket. Ändå känns klimathotet så stort att handlingen känns försvinnande liten. Därför behöver vi politik. Det är det som gör var och ens handling till förändring. – Gustav Fridolin på #järvaveckan #nu","miljopartiet"
"69","NU: Gustav Fridolin talar på #Järvaveckan! https://www.svtplay.se/video/18143595/jarvaveckan/jarvaveckan-13-jun-19-00 …","miljopartiet"
"70","Nu är #barnkonventionen svensk lag! Äntligen!  https://www.facebook.com/miljopartiet/photos/a.10150363631476151.402199.34780126150/10157908324011151/?type=3&theater …","miljopartiet"
"71","”Varför vill Jan Björklund försvara lågprisflyg till Las Vegas istället för våra barns framtid?”, @IsabellaLovin frågar varför L vill riva upp flygskatten. #pldebatt","miljopartiet"
"72","”Bara för att vädret är galet behöver inte politiken vara det”. Starkt och tydligt inledningsanförande av @IsabellaLovin i partiledardebatten. #pldebatt","miljopartiet"
"73","Klimatpolitiken är den stora skiljelinjen i höstens val, säger @IsabellaLovin i partiledardebatten.","miljopartiet"
"74","”Jag förstår inte att debatten i denna kammare kan handla om något annat”, @IsabellaLovin om att klimatet är den stora skiljelinjen i svensk politik. #pldebatt","miljopartiet"
"75","Brunnen har börjar sina, inte ett grönt strå på gräsmattan, böndernas oroar sig för skörden och nödslakt. Nu nämns de verkliga hoten i partiledardebatten. @IsabellaLovin @miljopartiet","miljopartiet"
"76","Nu debatterar @IsabellaLovin i riksdagen. #pldebatt","miljopartiet"
"77","Sverige behöver ett parti som inte vänder kappan efter vad den senaste opinionsmätningen sagt. https://www.facebook.com/miljopartiet/photos/a.10150363631476151.402199.34780126150/10157907460546151/?type=3&theater …","miljopartiet"
"78","VÄRLDENS HAV SKA LEVA - INTE FYLLAS MED PLAST http://www.facebook.com/miljopartiet/videos/10157882043386151/ …

#Världshavsdagen #WorldOceansDay #BeatPlasticPollution #Nu","miljopartiet"
"79","Idag är det världsmiljödagen! Tema: gör slut med plastskräpet. MP vill beskatta engångsartiklar, förbjuda de som inte behövs och fixa återvinningen även på stränder och i parker. #Nu #beatplasticpollution 
https://www.facebook.com/miljopartiet/videos/10157873249491151/ …","miljopartiet"
"80","Bort med plastskräpet. Nu. 
#BeatPlasticPollution #plastbanta","miljopartiet"
"81","Klockan 22 i @Nyheterna möter Gustav Fridolin Jimmie Åkesson, i en debatt om Sverigebilden. #val2018","miljopartiet"
"82","NU. BORT MED SKRÄPET. 
I morgon är det världsmiljödagen. Miljöpartiet vill göra det lättare att återvinna, beskatta engångskoppar och plastlock, förbjuda onödiga engångsartiklar och införa böter på att slänga skräp på marken. #BeatPlasticPollution Foto: National Geographic","miljopartiet"
"83","""Det här förslaget handlar om medmänsklighet. Med det är också ett förslag som handlar om att ta politiskt ansvar. Att låta de ensamkommande ungdomarna stanna är det enda rimliga och rätta."" - @MariaFerm #migpol #svpol","miljopartiet"
"84","""Lagstiftningen betyder otroligt mycket för de unga som berörs. Från ständig rädsla över att utvisas till ett av världens farligaste länder, till att kunna fokusera på skolan och på allvar påbörja ett liv i trygghet och frihet."" - @MariaFerm #migpol #svpol","miljopartiet"
"85","Just nu debatterar riksdagen lagförslaget som kan
ge 9 000 ensamkommande unga från Afghanistan en ny chans att få stanna i
Sverige. Det handlar om att ge unga människor, som redan är rotade här, en värdig möjlighet att börja sina liv på riktigt. I trygghet. #migpol #svpol","miljopartiet"
"86","#Nu gör vi en historisk STOR satsning på att järnvägen ska fungera i hela landet. Det tycker vi att både du och miljön förtjänar! https://www.facebook.com/miljopartiet/videos/10157867952441151/ …","miljopartiet"
"87","Omställning pågår! #klimat #framtidstro #svpol","miljopartiet"
"88","Nu skyddar vi ÄNNU mer natur!  https://www.facebook.com/miljopartiet/photos/a.10150363631476151.402199.34780126150/10157850289331151/?type=3&theater …","miljopartiet"
"89","""Vi har tagit på oss ledartröjan i havsfrågorna globalt och vi ska fortsätta leverera på hemmaplan."" - @IsabellaLovin 
Nu får Miljömålsberedningen i uppdrag att ta fram en strategi för att vända den negativa trenden i Sveriges havsmiljö: http://www.regeringen.se/pressmeddelanden/2018/05/miljomalsberedningen-far-havsuppdrag/ …","miljopartiet"
"90","”Vår allemansrätt är en nationalklenod” Statsministern vid invigning av Årike Fyris naturreservat","miljopartiet"
"91","Så stolt och hedrad över att regeringen utsett mig till ny ordförande för miljömålsberedningen. Ser fram emot att arbeta för en bred samsyn för att nå hållbara hav.","miljopartiet"
"92","Nu blir det äntligen verklighet av Läsa-skriva-räkna-garantin!
Viktigt att alla elever i behov av stöd ska få rätt stöd i rätt tid. 
http://www.facebook.com/miljopartiet/posts/10157845992826151 …","miljopartiet"
