"","V1","V2"
"108","Gislaveds kommun bygger hus till anhöriginvandrare. Omkring 100 personer vill bosätta sig i kommunen. Vad notan för husen kommer att landa på vet ännu ingen.","sdriks"
"109","En splittrad allians visar återigen att de inte klarar av att hålla en ståndpunkt – ens i ett dygn – när de inte får stöd från Socialdemokraterna.

Hur ska väljarna någonsin kunna lite på något som kommer från Alliansens munnar?","sdriks"
"110","Det går bra nu. 

""– Nu är man signifikant större än Moderaterna, och har befäst sin position som Sveriges andra parti. Skillnaden mellan S och SD är inom felmarginalen, det är en helt unik situation""","sdriks"
"111","Stenmarks titel som svensk slalomkung är hotad! Jäklar vad snabba de är! ","sdriks"
"112","Vad bra det går för Alliansen att hålla en gemensam linje :)","sdriks"
"113","","sdriks"
"114","","sdriks"
"115","Unga lagöverträdare ska straffas. @bystromfelix och @AdamMarttinen inleder debattkampen på @Nyheter24. In och läs!","sdriks"
"116","I dag anser 36 procent att SD har den bästa politiken när det gäller invandring och integration. För bara två månader sedan var det 27 procent, en uppgång med 9 procentenheter. Det visar en undersökning som opinionsföretaget Novus gjort.","sdriks"
"117","Nederländerna inför förbud mot burka i offentliga byggnader, såsom skolor, sjukhus och myndighetsbyggnader.","sdriks"
"118","Vad väljer du? #SD2018","sdriks"
"119","Snart inleds #Almedalen och då släpps bl.a. Jimmie Åkessons nya bok; Det moderna folkhemmet. - ""SD är den naturliga arvtagaren till den folkhemsidé som dagens socialdemokrater förkastat till förmån för splittring och segregation"". #svpol","sdriks"
"120","När Expressen skulle rapportera om domen av de tre männen från Palestina och Syrien som kastade brandbomber mot synagogan i Göteborg, rapporterade tidningen istället om att det skulle ha rört sig om ett attentat mot en moské.","sdriks"
"121","Stockholms stad har nu invigt de nya modulhusen på Södermalm som ska användas som tillfälliga boenden för migranter. Prislappen för de 22 boendena: 35 miljoner kronor.

För den som är svensk och vill få en bostad på Södermalm krävs det i genomsnitt att man stått i kö i 17 år.","sdriks"
"122","Det ser ganska bra ut det här.","sdriks"
"123","Åkesson vill se Moderaterna som stödparti till SD-regering #svpol","sdriks"
"124","Ödet för Europas internet avgörs idag kl 10. In och läs @SDTobbe, @gabrielkroon1 och Simon Solbergs kommentar på bloggen! 

http://ungsvenskarna.blogg.se/2018/june/the-meme-war-lat-inte-bryssel-kontrollera-era-memer.html …","sdriks"
"125","EU fortsätter att spika igen sin egen kista.","sdriks"
"126","Well done to @sdriks for pledging a referendum on Sweden’s membership of the European Union.","sdriks"
"127","Angelika Bengtsson kommenterar public service-utredningen: http://youtu.be/WVpxCK0PurQ?a  via @YouTube","sdriks"
"128","Nätverket mot cancer är Sveriges största ideella organisation för cancerberörda. De riktar nu skarp kritik mot Socialdemokraterna på grund av att partiet inte håller sina löften.

Sverige behöver politiker som prioriterar svensk välfärd.

Den 9 september är det val. #SD2018","sdriks"
"129","Oerhört upprörande att det finns såna hjärtlösa fegisar som ger sig på försvarslösa människor.","sdriks"
"130","Jimmie Åkesson i Framgångspodden om Sverigedemokraternas tre viktigaste migrationsåtgärder.","sdriks"
"131","Ja, det stämmer faktiskt. Röstar man på Sverigedemokraterna finns stor chans att Jimmie blir Sveriges nästa statsminister. 

Den 9 september är det val. #SD2018","sdriks"
"132","Mordförsök på polis i Trollhättan.","sdriks"
"133","Två personer döda och flera skadade efter skottlossning med automatvapen i Malmö.","sdriks"
"134","","sdriks"
"135","De senaste årens mycket oansvariga politik har lett till såväl ett ökat underrättelsehot, som ett ökat hot från terrorister.

Sverige behöver politiker som förstår konsekvenserna av sin egen politik och som tar samhällsutvecklingen på allvar.

Den 9 september är det val. #SD2018","sdriks"
"136","Idag kl. 14:00 är det avspark i premiärmatchen för herrlandslaget i Fotbolls VM. Sverige möter Sydkorea. Heja Sverige!","sdriks"
"137","""Det borde vara betydligt mer rimligt att de män som känner att de inte kan kontrollera sig själva om de ser en obeslöjad kvinna, det är bättre om de börjar bära ögonbindel istället när de går ut.""
- Jimmie Åkesson","sdriks"
"138","Polisens mordutredare i Stockholm är för få för att hinna med mängden mord. Utredarna på grova brott är helt nedkörda, berättar en polis.

Sverige behöver politiker som tar polisens situation på allvar.

Den 9 september är det val. #SD2018

Läs mer: https://www.expressen.se/nyheter/brottscentralen/slut-pa-mordutredare-i-stockholm-nedkorda/ …","sdriks"
"139","Idag, fredagen den 15 juni, kommer Sverigedemokraternas partiledare till Spånga IP i Stockholm och håller tal klockan 19:00. Kom gärna dit och visa ditt stöd.","sdriks"
"140","Statsminister Stefan Löfven vill inte svara på varför han säger nej till höjda kvalitetskrav på svenska skolor genom bland annat en ökad tillsyn, ett förstatligande av skolan och en övergång till en enda skolmyndighet, istället för femtiotre.","sdriks"
"141","Martin Kinnunen om vikten av att att införa en obligatorisk id-märkning av katter. En sådan lag skulle innebära minskade problemen med övergivna katter, lättare för upphittade katter att hitta hem och en förstärkt kontroll av djur som förs in i Sverige.","sdriks"
"142","Jimmie Åkesson - Vi väljer välfärd före massinvandring: http://youtu.be/hu4U1KnIsAc?a  via @YouTube","sdriks"
"143","Pedagogiskt inlägg där @jimmieakesson tydliggör för Löfven hur @sdriks politik gynnar vanliga medborgare. Statsministerns lögner strimlas sönder & samman.","sdriks"
"144","#SD2018","sdriks"
"145","RIKSDAGSDEBATT. –Regeringen har prioriterat asylinvandring framför det som våra skattemedel rimligen är avsedda för. Måtte väljarna sätta stopp för det den 9 september, summerade Åkesson. #pldebatt #svpol","sdriks"
"146","Tröttsamt att lyssna på Löfven. Han har bara ett argument: Skattesänkningar dåligt. Med världens högsta skatter har de misslyckats fullständigt med att trygga välfärden & skapa gemenskap. En ekonomisk politik med finansiell rörlighet stärker samhället & ökar tillväxten #pldebatt","sdriks"
"147","#SD2018","sdriks"
"148","”Valet blir en folkomröstning om välfärden” säger Löfven. 

Och han har faktiskt rätt. 

Valet handlar om ifall välfärden ska gå till de som byggt och bygger upp vårt land, eller de som utnyttjar våra system.","sdriks"
"149","Bra anförande av Jimmie i partiledardebatten, om visionen av ett modernt folkhem. En framgångsrik partiledare kan inte bara kritisera de politiska motståndarna (vilket också hör till självklart) utan att måla upp en egen vision av det goda samhället.","sdriks"
"150","Isabella Lövin förstår inte hur riksdagsdebatten kan handla om annat än klimatfrågor. 

Nej, det är väl det som är Miljöpartiets problem.","sdriks"
"151","Fascinerande att höra statsministern tala om att förhindra hedersförtryck & motverka kriminalitet mm, när det är just de som ignorerat & skapat den negativa utveckling vi sett. #pldebatt","sdriks"
"152",". @LOSverige","sdriks"
"153","Vi säger nej till att placera ytterligare 9000, där majoriteten har oklar identitet och ålder, bland svenska högstadie- och gymnasieelever.","sdriks"
"154","Sverigedemokraterna når sin högsta notering någonsin i Demoskop och blir näst största parti med 21 %. #SD2018","sdriks"
"155","Det finns bara ett parti som vill motarbeta islamiseringen av samhället på riktigt. #SD2018","sdriks"
"156","Ni har väl inte missat att Sverigedemokraterna närvarar under Järvaveckan i Stockholm?","sdriks"
"157","Efter en debatt på Sunnerbogymnasiet i Ljungby fick eleverna frågan hur de skulle rösta om det vore val i dag.","sdriks"
"158","Medan Österrike tar itu med problemen kring en ökande islamisering och radikalisering finansierar svenska skattemedel organisationer som sprider antisemitism och hat.","sdriks"
"159","Idag 7 juni efter voteringen ville nog @socialdemokrat helst prata vinster i välfärden men så kommer novus opinionsmätning och afghanamnestin och sätter käppar i hjulen för @SwedishPM","sdriks"
"160","SD näst största parti, enligt SVT/Novus.","sdriks"
"161","Känslan när vår lagstiftande församling applåderar åt att de som vägrat följa våra lagar ska belönas för detta...","sdriks"
"162","2,9 miljarder kronor har regeringen, tillsammans med Centerpartiet, beslutat att spendera på 9000 afghanska män utan skyddsbehov för att de ska få gå i svensk skola. Det kan du ändra på den 9 september. #SD2018","sdriks"
"163","Grattis asylmissbrukare. Nu har ni några månader då ni får vara här lagligt. 

Men den 9 september är det val.","sdriks"
"164","Partier som sagt att förslaget om skandalamnestin är ”uruselt” struntade i möjligheten att stoppa det genom en återfövisning. Resultatet: Omröstning, där ett kasst förslag gått igenom.","sdriks"
"165","Och där lät @nya_moderaterna möjligheten till återförvisning rinna ut i sanden...","sdriks"
"166","Terroristen Rakhmat Akilov döms till livstids fängelse för terrorbrott. I snitt sitter dock en livstidsdömd bara i fängelse i 16 år till följd av att straffet tidsbegränsas. För oss är det självklart att vissa brottslingar aldrig ska släppas ut, Rakhmat Akilov är en av dem.","sdriks"
"167","Snart är det val. #SD2018","sdriks"
"168","Vi kommer aldrig tillåta att skottlossningar blir en del av vardagen. Därför vill vi se till att illegala vapnen inte letar sig genom den svenska gränsen, genom att utöka Tullverkets resurser samt förbättra möjligheterna att spana och slå till mot vapensmugglare. #SD2018 #svpol","sdriks"
"169","Vi vill att medborgarskapet ska uppvärderas och få den status det faktiskt förtjänar. Genom att kräva mer för att dela ut det, blir belöningen och känslan för medborgarskapet desto större när den nya medborgaren väl får det i sin hand. #SD2018 #svpol","sdriks"
"170","#SD2018 ","sdriks"
"171","Ett gäng glada ungdomar från vårt ungdomsförbund, Ungsvenskarna, var på plats vid Nacka gymnasium för att dela ut svenska flaggor till eleverna att vifta med under utspringet.","sdriks"
"172","GP:s granskning av förskolors inställning till religiöst tvång visar att 27 av 40 kommunala förskolor i utsatta områden i Stockholm, Göteborg och Malmö kan tänka sig att kontrollera, tillrättavisa och tvinga barn att bära slöja.

Inte i vårt Sverige. #SD2018","sdriks"
"173","  #SD2018","sdriks"
"174","Sverigedemokraterna fortsätter sin resa uppåt i opinionsmätningarna och stiger kraftigt i SCB:s senaste partisympatiundersökning. #SD2018 #svpol","sdriks"
"175","Idag finns det 245 000 personer över sextiofem som lever i risk för fattigdom. Sverigedemokraterna satsar därför särskilt på pensionärerna med lägst inkomst så att den som levt i Sverige hela sitt liv får rätt till en skälig levnadsstandard även på ålderns höst. #SD2018 #svpol","sdriks"
"176","Paula Bieler om vansinnet i att godkänna regeringens förslag om att lägga 2,9 miljarder kronor på att 9000 afghanska män utan skyddsbehov ska få studera i Sverige. #SD2018 #svpol","sdriks"
