"","V1","V2"
"68","ALLA BARN HAR RÄTT TILL GOD HÄLSA
År 2018 är god hälsa fortfarande en klassfråga. Därför vill vi i Vänsterpartiet införa avgiftsfri idrottsskola för alla 6–12-åringar.

Läs mer om förslaget i dagens Smålandsposten:
http://www.smp.se/debatt/gratis-idrottsskola-for-battre-halsa/ …
#vxopol","vansterpartiet"
"69",". @vansterpartiet slogs ”in i det sista” för att få upp a-kassan i den senaste budgetförhandlingen med regeringen. Läs Arbetets storintervju med @jsjostedt","vansterpartiet"
"70","Vad kan vi göra för 43 miljarder kronor?
Enligt Uppdrag Gransknings beräkningar undanhålls ca 43 miljarder i skatt varje år genom skatteflykt. Beräkningarna bygger dels på  Skatteverkets… https://www.instagram.com/p/BlU-h6Rnbdr/?utm_source=ig_twitter_share&igshid=is8q82wsn838 …","vansterpartiet"
"71","Torkan, värmen och de omfattande bränderna ger oss en föraning om vad klimatförändringarna kan innebära. Vi måste snabbt minska utsläppen, men också förbereda oss för en ny verklighet med stora skogsbränder. Här är två konkreta förslag:","vansterpartiet"
"72","Vänsterpartiets förslag om att granska arbetsmiljön i välfärden är bra! Viktigt att sådan granskning görs utifrån styrningsperspektiv. Därför skriver vi debattartikel om hur ökad undervisningstid för lärare i Uppsala riskerar att sprida sig.","vansterpartiet"
"73","Svar: ja.","vansterpartiet"
"74","#V2018","vansterpartiet"
"75","Tankesmedjan Balans skriver om hur aneläget vårt förslag om en kommission som granskar bristerna inom välfärdens arbetsmiljö är. Balans vill att kommissionen får i uppdrag att kartlägga hur både effektivitetskrav och managementidéer påverkar arbetsmiljön.","vansterpartiet"
"76","Vänsterpartiet vill sätta stopp för vinstjakten i äldreomsorgen. Våra skattemedel ska gå till välfärden, inte till aktieutdelning och privata vinster. #V2018 https://www.instagram.com/p/BlSTLu4DJT9/?utm_source=ig_twitter_share&igshid=5du17scwwnj …","vansterpartiet"
"77","Toppskicket har klarat sig utmärkt på bekostnad av den stora majoriteten av befolkningen i Sverige. Det vill vi ändra på. Vi vill se en ny skattereform. Den reformen ska omfördela och bidra till att göra Sverige till världens mest jämlika land igen.","vansterpartiet"
"78","Det känns bra att Vänsterpartiet är den populäraste tänkbara regeringspartnern bland S-väljare. Många vet att vänstern inte svajar och ligger bakom fler än 80 populära reformer.
https://www.vansterpartiet.se/reformer-for-valfard-och-jamlikhet/ …","vansterpartiet"
"79","Alla är varmt välkomna.Tillsammans kan vi göra Sverige till världens mest jämlika land igen.","vansterpartiet"
"80","Bengt Wigg har varit njursjuk sedan han var barn. Han går på dialys tre gånger i veckan. Han är sjukskriven på halvtid, men sedan han blev utförsäkrad i november 2016 har han inte någon ersättning. Tänker du också #nuräckerdet Engagera dig! https://www.vansterpartiet.se/engagera-dig/ ","vansterpartiet"
"81","Så bra! Tillsammans gör vi skillnad.","vansterpartiet"
"82","Mia Lorentz dotter Maja, föddes med en omfattande hjärnskada. Maja har behov av assistans dygnet runt. På grund av nedskärningarna i LSS får inte familjen den hjälp de har behov av. https://www.vansterpartiet.se/podcast/avsnitt-1-om-lss-och-assistans/ …
Känner du också #nuräckerdet Bli medlem http://www.vansterpartiet.se/bli-medlem ","vansterpartiet"
"83","Vi säger grattis till Ung Vänster som vann Nyheter24s debattkamp. För att citera förbundets ordförande Henrik Malmrot ”Jag tycker det här visar på intresset för vänsterpolitik och för ett annat samhälle”. #V2018","vansterpartiet"
"84",".@jsjostedt ”En av våra framgångar i budgeten är ett investeringsstöd till att bygga billigare hyreslägenheter som framför allt använts av många landsbygdskommuner, som kanske inte hade byggt annars. ”","vansterpartiet"
"85","Den gulliga katten måste ha läst Djurens Rätt och Naturskyddsföreningens rapporter om att Vänsterpartiet har den bästa politiken för djur och natur! ","vansterpartiet"
"86","En viktig reform som Vänsterpartiet drev igenom i förhandlingarna med regeringen. Nu vill vi gå vidare och införa ett högkostnadsskydd på 2 000 kronor för tandvård.","vansterpartiet"
"87","[+] Vänsterledaren Jonas Sjöstedt ockuperar i Sollefteå igen: ""Det är en symbolstrid för om vi ska ha tillgång till sjukvård i Sverige""
https://www.allehanda.se/artikel/vasternorrland/solleftea/vansterledaren-jonas-sjostedt-ockuperar-i-solleftea-igen-det-ar-en-symbolstrid-for-om-vi-ska-ha-tillgang-till-sjukvard-i-sverige …","vansterpartiet"
"88","Välfärdens finansiering håller på att klyvas i två delar. De rika går på bidrag genom att staten sponsrar privata sjukvårdsförsäkringar. Bra att avdragsrätten slopas nu. #vitaransvar #vårdpol #svmed...","vansterpartiet"
"89","Kom och träffa @vansterpartiet Malung på söndag, kl 11.30 - 15.30. @dansbandsveckan  #V2018
https://www.facebook.com/events/1092337494258636/?ti=icl …","vansterpartiet"
"90","Dagens exempel på ett parti och en politiker som har en egen röst och en vision för framtiden är Vänsterpartiet och Jonas Sjöstedt.","vansterpartiet"
"91","Självklart kommer inte Kinas ambassad att kunna tysta oss genom brev och smutskastning av Gui Minhai. Vi är många som kräver att Gui Minhai friges och får återvända till Sverige.","vansterpartiet"
"92","Är intervjuad i DN om mina kulturvanor inklusive Joni Mitchell, Väinö Linna och Dead Kennedys.","vansterpartiet"
"93","Snart är det sommaruppehåll i EU-parlamentet. Men @MalinBjork_EU kan du se och höra på @EuroPride2018 ! Bl a den 1 aug om #hbtq-rättigheter i EU i @SverigesRadioP3 och den 18 aug i partidebatt i Göteborg! Läs mer om #Europride här: http://europride2018.com/ ","vansterpartiet"
"94","Det är bråttom. Motverka utmattning för lärare, läkare m.fl. annars väljer ännu färre dessa yrken Varför gå en lång akademisk utbildning, få stora studieskulder för att sen få utmattningssyndrom & bli hänvisad till ett ”enkelt arbete” av FK?@SwedishPM<U+2069>","vansterpartiet"
"95","Vill att alla partier pratar om detta. Och kvinnor borde vara förbannade.","vansterpartiet"
"96","Det är skamligt att människor blir sjuka av att arbeta i välfärden. Bra att @AnderssonUlla lyfter frågan.","vansterpartiet"
"97","Det är tillsammans vi gör skillnad ","vansterpartiet"
"98","Försvaret bör stoppa inköpet av patriotmissiler från USA. Vi ska inte köpa vapen av politiska lojalitet utan det som är bäst för svenskt försvar.","vansterpartiet"
"99","På en liberal ledarsida: ""Lyssna på Vänsterpartiet, som på tisdagen föreslog att det ska tillsättas en kommission som kartlägger vilka arbetsmiljöbrister som finns inom välfärden samt vad det får för konsekvenser.""","vansterpartiet"
"100","Bra. Det behövs. Säger en med erfarenhet från flera välfärdsjobb.","vansterpartiet"
"101","Instämmer här med Vänsterpartiet.Trenden måste brytas snarast.","vansterpartiet"
"102","Vi måste investera i välfärden! Vi ska bygga ett Göteborg för alla!
https://goteborg.etc.se/nyheter/valfard-viktigast-bernmar …
#gbgftw #gbgpol #kfgbg @VGoteborg","vansterpartiet"
"103","Antalet sjukskrivna med utmattningssymtom har sexdubblats sedan 2010. De utbrända är numera yngre och en stor majoritet är kvinnor. Sjukskrivningstalen är som högst i välfärdsverksamheter. Det är dags att tillsätta en kommission som granskar bristerna.","vansterpartiet"
"104","Nytt avsnitt av #alltduvelatveta om @vansterpartiet med @jsjostedt ute nu!","vansterpartiet"
"105","""Sjukskrivningstalen är som högst i välfärdsverksamheter som vård, skola och omsorg. Det är dags att tillsätta en kommission som granskar bristerna i välfärdsyrkena,"" skriver vår eminenta @AnderssonUlla
https://www.vansterpartiet.se/tillsatt-en-kommission-mot-ohalsan-i-valfardsyrkena/ … #välfärden #sjukskrivning","vansterpartiet"
"106","Mycket bra förslag av @AnderssonUlla Sverige har inte råd att förlora fler från välfärdsyrkena pga ett system där du utförsäkras och tvingas söka ett annat arbete, trots förutsättningar att återgå till yrket om du bara får tillfriskna!","vansterpartiet"
"107","Fin film med @jsjostedt . Om Sverige och vart vi vill - och det är @vansterpartiet som kan ta oss dit. #svpol #jagstannarpåmarken #miljö #klimat #jämställdhet","vansterpartiet"
"108","DN DEBATT 10/7
Ulla Andersson (V):
”Tillsätt en kommission mot ohälsan i välfärdsyrkena”","vansterpartiet"
"109","Tankesmedjan Balans har gång på gång visar hur NPM-styrningen av välfärden lett till återkommande effektiviseringskrav. Politiker vill få ut mer verksamhet för mindre pengar och den som får betala för det är medarbetarna. Bra förslag från @AnderssonUlla","vansterpartiet"
"110","V vill ta helhetsgrepp om ohälsan i välfärdsyrken https://omni.se/v-vill-ta-helhetsgrepp-om-ohalsan-i-valfardsyrken/a/yvMoRK … @vansterpartiet","vansterpartiet"
"111","Färre förlossningsskador i Stockholms läns landsting . Vänsterpartiet har förhandlat in pengar i regeringens budget för att minska förlossningsskador i Sverige Känns så bra. #pol #08pol","vansterpartiet"
"112","– De stora byggbolagen vill inte att vi bygger bort deras marknad. Om vi bygger billiga hyresrätter så kan människor välja dem i stället för dyra bostadsrätter. Det är en konflikt inom branschen, säger @nooshiit","vansterpartiet"
"113"," Tillsammans gör vi skillnad. ","vansterpartiet"
"114","Åkesson är en del av den politiska eliten, han tjänar runt 100 000 i månaden och har knappt haft ett riktigt jobb. Ändå hånar han utrikes födda som jobbar i vården, i industrin och kör våra bussar. Sunkigt.","vansterpartiet"
"115","Fullt med ungdomar på bussen som reser gratis med sina sommarkort. Så fint att se en av många vänsterreformer i arbete. ","vansterpartiet"
"116","Hör @nooshiit om högerpartiernas radikalisering på bostadsområdet. Nu är de alla för marknadshyror. Vi är förstås emot. Vad vanligt folk behöver är inte lägre löner och högre hyror.","vansterpartiet"
"117","Alla höjningar som skett sedan sjukersättningen infördes 2003 har Vänsterpartiet fått igenom. Dessutom har vi höjt bostadstillägget och sänkt skatten. Borgarna dock inte glada över det. Tänk att permanent sjuka och funktionsnedsatta ska ha bättre ekonomi...","vansterpartiet"
"118","Tack Sverige för en fin VM-turnering! ","vansterpartiet"
"119","JUS ordförande är på plats i Almedalen och kommer att äta glass med en politiker från varje parti för en intervju om vart deras parti står i olika judiska frågor. Här kan ni läsa vad @nooshiit och @vansterpartiet svarade på frågorna: https://www.facebook.com/167345119979965/posts/1895032963877830/ …","vansterpartiet"
"120","Jag gillade en video på @YouTube http://youtu.be/hwDUoc2oO3Y?a  Filmen om Jonas Sjöstedt","vansterpartiet"
"121","Varmt välkommen! ","vansterpartiet"
"122","Det tackar vi för. #tillsammansgörviskillnad","vansterpartiet"
"123","Det rör på sig även i Norge, här i Sverige vill Vänsterpartiet börja korta arbetstiden, målet är sex timmar per dag.","vansterpartiet"
"124","Det gör vi med. ","vansterpartiet"
"125","Metro TV Val 2018
Här ställs Jonas Sjöstedt mot väggen – av sjuåriga Lucy
<U+2066>@jsjostedt<U+2069> <U+2066>@vansterpartiet<U+2069>","vansterpartiet"
"126","NY FILM! Jonas Sjöstedt berättar om sin bakgrund, vad som är viktigt för honom - och varför det behövs en stark vänster efter valet 9 september. #V2018","vansterpartiet"
"127","Nu är det bråttom. Regeringen måste skjuta till pengar för att rädda bönderna ur torkkrisen.","vansterpartiet"
"128","Bästa med årets Almedalen var Maxida Märak innan Jonas Sjöstedts tal på @vansterpartiet dag! Levererade grym stämning i kylan och käftsmällar som hette duga. #almedalen #vårturnu","vansterpartiet"
"129","Fler bostäder med lägre hyror. Vänsterpartiet i Uppsala går till val på vänsterhyror som skulle innebära 30 procent lägre hyror i nyproduktion.","vansterpartiet"
"130","@vansterpartiet vallöfte, idrottens plats i bostadspolitiken och vad fotbolls-VM kan göra med Almedalsveckan. Veckans avsnitt av podden Idrott och politik summerar #almedalen ur idrottens perspektiv med RF:s generalsekreterare @stefanberghRF","vansterpartiet"
